latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.489,142.743,319.5,2.2,1.4,2020-10-03,0025,T,24,6.0NRT,289.7,29,D
-12.42,142.128,322.2,2.4,1.5,2020-10-03,0025,T,71,6.0NRT,287.1,44.1,D
-13.113,141.647,313.3,2.5,1.5,2020-10-03,0025,T,22,6.0NRT,285.7,21.1,D
-13.881,143.564,317,1.8,1.3,2020-10-03,0025,T,25,6.0NRT,288.2,14.5,D
-14.582,144.637,328.6,1.4,1.2,2020-10-03,0025,T,58,6.0NRT,271.5,36.5,D
-14.622,144.616,334,1.4,1.2,2020-10-03,0025,T,85,6.0NRT,276.5,49.1,D
-14.625,144.629,320.1,1.4,1.2,2020-10-03,0025,T,47,6.0NRT,274.7,20.7,D
-14.627,144.642,317.9,1.4,1.2,2020-10-03,0025,T,63,6.0NRT,273.3,19,D
-14.672,144.914,332.6,1.4,1.2,2020-10-03,0025,T,60,6.0NRT,292.7,34.1,D
-14.674,144.927,363.4,1.4,1.2,2020-10-03,0025,T,87,6.0NRT,296.8,137.3,D
-14.676,144.94,333.8,1.4,1.2,2020-10-03,0025,T,0,6.0NRT,295.3,36.5,D
-14.684,144.925,341,1.4,1.2,2020-10-03,0025,T,90,6.0NRT,296.2,55.1,D
-14.686,144.938,328.5,1.4,1.2,2020-10-03,0025,T,51,6.0NRT,295.1,25.5,D
-14.697,144.936,333.1,1.4,1.2,2020-10-03,0025,T,64,6.0NRT,295.2,33,D
-14.763,144.708,333.9,1.4,1.2,2020-10-03,0025,T,85,6.0NRT,274.2,51.5,D
-15.51,145.213,365.9,1.3,1.1,2020-10-03,0025,T,100,6.0NRT,295.1,139.1,D
-15.512,145.225,317,1.3,1.1,2020-10-03,0025,T,14,6.0NRT,292.3,10.8,D
-15.508,145.207,345.7,1.3,1.1,2020-10-03,0025,T,92,6.0NRT,294,65.9,D
-15.51,145.219,336,1.3,1.1,2020-10-03,0025,T,85,6.0NRT,293.2,41.3,D
-15.589,145.254,326.8,1.3,1.1,2020-10-03,0025,T,75,6.0NRT,296.1,25.7,D
-15.348,142.161,321.5,2.1,1.4,2020-10-03,0025,T,45,6.0NRT,298.5,16.9,D
-15.384,142.371,321.9,2,1.4,2020-10-03,0025,T,47,6.0NRT,292.6,26.9,D
-15.396,142.369,320.7,2,1.4,2020-10-03,0025,T,22,6.0NRT,292.6,20.9,D
-15.4,142.387,326,2,1.4,2020-10-03,0025,T,57,6.0NRT,294.4,36.6,D
-15.351,142.174,321.3,2.1,1.4,2020-10-03,0025,T,23,6.0NRT,298.3,17.1,D
-15.385,142.365,326.9,2,1.4,2020-10-03,0025,T,52,6.0NRT,293.3,38.1,D
-15.454,142.39,324.2,2,1.4,2020-10-03,0025,T,50,6.0NRT,299.4,28,D
-15.466,142.388,326.1,2,1.4,2020-10-03,0025,T,57,6.0NRT,300,31.6,D
-23.674,151.201,329.4,1.5,1.2,2020-10-03,0025,T,77,6.0NRT,301.8,38,D
-23.704,151.167,318.7,1.5,1.2,2020-10-03,0025,T,31,6.0NRT,300.3,15.6,D
-23.706,151.161,323.3,1.5,1.2,2020-10-03,0025,T,0,6.0NRT,299.8,22.3,D
-24.023,151.358,318.4,1.6,1.2,2020-10-03,0025,T,41,6.0NRT,304.4,15.2,D
-24.463,151.826,319.4,1.7,1.3,2020-10-03,0025,T,58,6.0NRT,304.2,19.3,D
-24.465,151.842,323.2,1.7,1.3,2020-10-03,0025,T,68,6.0NRT,303.5,27.5,D
-24.273,149.461,331.3,1.2,1.1,2020-10-03,0025,T,77,6.0NRT,313.6,22.2,D
-24.275,149.473,328.9,1.2,1.1,2020-10-03,0025,T,73,6.0NRT,311.2,18,D
-25.063,149.679,325.1,1.3,1.1,2020-10-03,0025,T,24,6.0NRT,304.3,15.6,D
-25.064,149.691,336.3,1.3,1.1,2020-10-03,0025,T,84,6.0NRT,305.4,35.9,D
-25.073,149.678,325.1,1.3,1.1,2020-10-03,0025,T,44,6.0NRT,305.1,15.9,D
-25.075,149.69,326.2,1.3,1.1,2020-10-03,0025,T,55,6.0NRT,305.8,17.3,D
-25.083,149.682,331.7,1.3,1.1,2020-10-03,0025,T,80,6.0NRT,305.1,28,D
-25.217,148.131,327.1,1.1,1,2020-10-03,0025,T,73,6.0NRT,309.7,15.3,D
-25.643,150.983,327.4,1.5,1.2,2020-10-03,0025,T,56,6.0NRT,304.2,25.5,D
-25.649,150.936,333,1.5,1.2,2020-10-03,0025,T,82,6.0NRT,301.7,38.4,D
-25.651,150.951,352.1,1.5,1.2,2020-10-03,0025,T,96,6.0NRT,304.1,101.5,D
-25.652,150.966,348.3,1.5,1.2,2020-10-03,0025,T,94,6.0NRT,304.4,87.3,D
-25.662,150.949,326.4,1.5,1.2,2020-10-03,0025,T,35,6.0NRT,303.1,23.9,D
-25.672,148.573,323.1,1.1,1.1,2020-10-03,0025,T,58,6.0NRT,309.2,10,D
-25.677,148.577,323.8,1.1,1.1,2020-10-03,0025,T,63,6.0NRT,309.6,12.1,D
-26.272,149.112,341.2,1.2,1.1,2020-10-03,0025,T,89,6.0NRT,311.9,43.3,D
-26.282,149.111,380.3,1.2,1.1,2020-10-03,0025,T,100,6.0NRT,311.7,191.3,D
-27.9,148.246,322,1.2,1.1,2020-10-03,0030,T,61,6.0NRT,306.1,12.6,D
-28.575,152.768,314.6,2.2,1.4,2020-10-03,0030,T,52,6.0NRT,292.9,34.7,D
-28.586,152.761,316.6,2.2,1.4,2020-10-03,0030,T,60,6.0NRT,290.1,38.7,D
-30.748,151.438,310.4,1.9,1.4,2020-10-03,0030,T,54,6.0NRT,298.6,13.8,D
-30.752,151.451,309.8,1.9,1.4,2020-10-03,0030,T,51,6.0NRT,298,14,D
-32.221,147.615,318,1.2,1.1,2020-10-03,0030,T,33,6.0NRT,302.7,11.7,D
-32.231,147.614,323,1.2,1.1,2020-10-03,0030,T,76,6.0NRT,302.8,17.3,D
-32.231,147.608,314.2,1.2,1.1,2020-10-03,0030,T,52,6.0NRT,302,7.6,D
-32.233,147.62,313.9,1.2,1.1,2020-10-03,0030,T,53,6.0NRT,302.8,7.7,D
-32.622,146.673,320.2,1.1,1,2020-10-03,0030,T,70,6.0NRT,305.4,11.6,D
-32.623,146.685,328.2,1.1,1,2020-10-03,0030,T,80,6.0NRT,306.1,22.1,D
-33.849,149.937,316.3,1.7,1.3,2020-10-03,0030,T,73,6.0NRT,294.1,29.3,D
-33.845,149.931,314.2,1.7,1.3,2020-10-03,0030,T,70,6.0NRT,293.8,24.1,D
-37.088,140.529,368.5,1.1,1.1,2020-10-03,0030,T,100,6.0NRT,305.1,122.3,D
-37.089,140.51,318.3,1.1,1.1,2020-10-03,0030,T,37,6.0NRT,301.1,13.3,D
-37.091,140.522,386.5,1.1,1.1,2020-10-03,0030,T,100,6.0NRT,308.4,206.1,D
-37.094,140.535,357.8,1.1,1.1,2020-10-03,0030,T,99,6.0NRT,302.2,87,D
-38.096,145.486,306.7,1.1,1.1,2020-10-03,0030,T,52,6.0NRT,295.5,5.6,D
-41.32,148.157,308.9,1.6,1.3,2020-10-03,0030,T,46,6.0NRT,292.1,14.4,D
-41.322,148.177,312.7,1.6,1.3,2020-10-03,0030,T,69,6.0NRT,291.1,20.4,D
-22.91,-43.743,305.9,2.8,1.6,2020-10-03,0105,T,65,6.0NRT,295.8,20.2,N
-22.728,-43.276,310.3,2.5,1.5,2020-10-03,0105,T,79,6.0NRT,296.8,27.8,N
-22.095,-44.202,304,2.9,1.6,2020-10-03,0105,T,55,6.0NRT,289.9,25.1,N
-22.095,-44.207,300.4,2.9,1.6,2020-10-03,0105,T,28,6.0NRT,289.6,17.6,N
-21.836,-41.9,305.2,2,1.4,2020-10-03,0105,T,52,6.0NRT,294.2,13.6,N
-21.824,-41.904,305.4,2,1.4,2020-10-03,0105,T,56,6.0NRT,294.4,12.9,N
-21.14,-43.47,302.7,2.5,1.5,2020-10-03,0105,T,51,6.0NRT,291,19.4,N
-21.337,-45.879,309.2,3.8,1.8,2020-10-03,0105,T,77,6.0NRT,291,60.7,N
-21.331,-45.885,301.6,3.8,1.8,2020-10-03,0105,T,42,6.0NRT,291.1,29.4,N
-21.071,-43.266,301.4,2.4,1.5,2020-10-03,0105,T,40,6.0NRT,291,15,N
-21.073,-43.29,318.1,2.4,1.5,2020-10-03,0105,T,96,6.0NRT,290.9,59,N
-20.799,-44.181,302.3,2.8,1.6,2020-10-03,0105,T,48,6.0NRT,289.2,25.3,N
-20.432,-42.128,307.8,2,1.4,2020-10-03,0105,T,72,6.0NRT,292.2,22.6,N
-20.357,-42.008,318.1,1.9,1.4,2020-10-03,0105,T,96,6.0NRT,293.3,41.4,N
-20.359,-42.024,316.2,1.9,1.4,2020-10-03,0105,T,93,6.0NRT,292.2,37.2,N
-20.366,-42.013,319.3,1.9,1.4,2020-10-03,0105,T,98,6.0NRT,293.3,44.4,N
-20.353,-42.014,310.2,1.9,1.4,2020-10-03,0105,T,79,6.0NRT,292.5,24.7,N
-20.761,-46.78,303.6,4.4,1.9,2020-10-03,0105,T,56,6.0NRT,292.1,42.2,N
-19.916,-43.224,312.3,2.3,1.5,2020-10-03,0105,T,84,6.0NRT,293.2,38.7,N
-19.918,-43.247,305.4,2.3,1.5,2020-10-03,0105,T,64,6.0NRT,292.1,22.4,N
-19.597,-42.312,324.2,2,1.4,2020-10-03,0105,T,100,6.0NRT,295.1,56.2,N
-19.599,-42.331,309.9,2,1.4,2020-10-03,0105,T,79,6.0NRT,294.5,22.7,N
-19.323,-41.59,305.8,1.7,1.3,2020-10-03,0105,T,66,6.0NRT,292.5,14.2,N
-19.325,-41.609,316.4,1.7,1.3,2020-10-03,0105,T,93,6.0NRT,293.3,31.7,N
-19.435,-42.615,317.4,2.1,1.4,2020-10-03,0105,T,95,6.0NRT,296.1,40.5,N
-19.437,-42.633,325.6,2.1,1.4,2020-10-03,0105,T,100,6.0NRT,295.4,65.2,N
-19.435,-42.62,327.5,2.1,1.4,2020-10-03,0105,T,100,6.0NRT,296.4,70.6,N
-19.437,-42.638,313.4,2.1,1.4,2020-10-03,0105,T,87,6.0NRT,294.6,31.6,N
-19.686,-45.932,303.9,3.7,1.8,2020-10-03,0105,T,58,6.0NRT,291.5,37.2,N
