YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202006,147048,883916,1,4.2,"SW","VINELAND",46.12,-93.8,467200,9348000
202006,147048,883916,2,2.49,"SSW","WAHKON",46.0848,-93.5305,465088,9331830
202006,147048,883917,1,2.13,"SSW","WARMAN",46.04,-93.29,462400,9317400
202006,147048,883918,1,6.22,"N","QUAMBA",46.01,-93.18,46600,9310800
202006,147087,884127,1,0,"N","FARWELL",45.75,-95.62,4545000,9537200
202006,147087,884128,1,6.32,"WSW","GUTCHES GROVE",45.9,-95.08,4554000,954800
202006,147087,884129,1,1.44,"E","BURTRUM",45.87,-94.67,4552200,9440200
202006,147087,884130,1,.69,"S","VILLARD",45.71,-95.27,4542600,9516200
202006,147087,884131,1,.48,"E","GLENWOOD",45.65,-95.39,4539000,9523400
202006,147087,884132,1,1.38,"N","GILMAN",45.75,-93.97,4545000,9358200
202006,147087,884133,1,.48,"W","SARTELL",45.62,-94.21,4537200,9412600
202006,147087,884134,1,.97,"W","SARTELL",45.62,-94.22,4537200,9413200
202006,147087,884135,1,1.69,"NW","ST CLOUD",45.59,-94.19,4535400,9411400
202006,147087,884136,1,.69,"N","COLD SPG",45.46,-94.43,4527600,9425800
202006,147087,884137,1,1.19,"NE","ELK RIVER",45.31,-93.56,4518600,9333600
202006,147087,884138,1,1.21,"NE","BUTTERNUT",44.14,-94.31,448400,9418600
202006,147087,884139,1,4.2,"ESE","HANSKA",44.13,-94.42,447800,9425200
202006,147087,884140,1,1.2,"SE","MAHTOMEDI",45.06,-92.95,453600,9257000
202006,147087,884141,1,.69,"S","LAKE CRYSTAL",44.11,-94.22,446600,9413200
202006,147087,884143,1,.27,"W","LAKE CRYSTAL",44.1203,-94.2254,447218,9413524
202006,147087,884143,2,2.48,"SSE","RAPIDAN",44.0666,-94.0515,443996,943090
202006,147087,884145,1,3.26,"E","BEAUFORD",44.0143,-93.905,44858,9354300
202006,147087,884145,2,1.38,"S","PEMBERTON",43.98,-93.78,4358800,9346800
202006,147087,884146,1,.69,"N","WALDORF",43.94,-93.7,4356400,9342000
202006,147087,884147,1,.69,"N","WALDORF",43.94,-93.7,4356400,9342000
202006,147087,884148,1,.23,"E","(AEL)ALBERT LEA ARPT",43.6804,-93.3654,4340824,9321924
202006,147087,884149,1,0,"N","(AEL)ALBERT LEA ARPT",43.68,-93.37,4340800,9322200
202006,147087,885623,1,2.94,"NNE","LEWISVILLE",43.96,-94.43,4357600,9425800
202006,147087,885624,1,0,"N","GRANADA",43.7,-94.35,4342000,9421000
202006,147087,885625,1,2.29,"SSW","SAVAGE",44.75,-93.35,4445000,9321000
202006,147087,885626,1,2.4,"SW","LAKEVILLE",44.65,-93.29,4439000,9317400
202006,147194,885072,1,.87,"SE","MARYDEL",39.11,-75.74,396600,7544400
202006,147194,885073,1,0,"N","MIDDLETOWN",39.45,-75.73,3927000,7543800
202006,147194,885074,1,1.75,"WSW","BLACKISTON",39.26,-75.73,3915600,7543800
202006,147194,885076,1,1.06,"W","CENTERVILLE",39.82,-75.64,3949200,7538400
202006,147194,885077,1,.69,"S","CENTERVILLE",39.81,-75.62,3948600,7537200
202006,147194,885078,1,.53,"E","MIDDLETOWN",39.45,-75.72,3927000,7543200
202006,147195,884885,1,1.28,"WNW","CHURCH HILL",39.14,-76,398400,7600
202006,147195,884887,1,2.11,"NW","BLYTHEDALE",39.6,-76.08,3936000,764800
202006,147195,884891,1,1.07,"E","BIGWOODS",39.28,-76.01,3916800,76600
202006,147195,884893,1,1.48,"SSW","CALVERT",39.68,-75.99,3940800,7559400
202006,147195,884896,1,0,"N","GREENSBORO",38.97,-75.8,3858200,7548000
202006,147217,885104,1,2.79,"SW","GARRISON MUNI ARPT",47.6,-101.42,4736000,10125200
202006,147217,886039,1,.69,"N","BOTTINEAU ARPT",48.84,-100.42,4850400,10025200
202006,147218,885111,1,7.96,"WSW","LINTON MUNI ARPT",46.17,-100.38,4610200,10022800
202006,147218,885112,1,14.95,"ENE","STRASBURG",46.25,-99.91,4615000,9954600
202006,147218,885113,1,3.49,"N","DANZIG",46.18,-99.48,4610800,9928800
202006,147218,885114,1,6.7,"ENE","DANZIG",46.18,-99.35,4610800,9921000
202006,147218,885115,1,5.28,"W","ELLENDALE",46,-98.63,4600,9837800
202006,147218,885165,1,13.95,"NE","ASHLEY",46.1712,-99.1618,4610272,999708
202006,147228,885248,1,4.95,"NNW","VERMILLION",39.79,-96.29,3947400,9617400
202006,147228,899328,1,0,"N","FRANKFORT",39.7,-96.42,3942000,9625200
202006,147228,899329,1,.53,"E","AXTELL",39.87,-96.26,3952200,9615600
202006,147228,899330,1,1.06,"E","AXTELL",39.87,-96.25,3952200,9615000
202006,147228,901259,1,1.38,"N","BELLEVILLE",39.84,-97.63,3950400,9737800
202006,147241,892123,1,.61,"W","GIBSONTON",27.85,-82.38,2751000,8222800
202006,147241,892123,2,.48,"W","GIBSONTON",27.8497,-82.3778,2750982,8222668
202006,147241,892123,3,.58,"W","GIBSONTON",27.8498,-82.3795,2750988,8222770
202006,147241,892123,4,.61,"W","GIBSONTON",27.8498,-82.3799,2750988,8222794
202006,147241,892124,1,3.05,"W","LITHIA",27.85,-82.22,2751000,8213200
202006,147241,892125,1,1.96,"WSW","OAK KNOLL",27.49,-82.31,2729400,8218600
202006,147241,892125,2,1.65,"WSW","OAK KNOLL",27.4917,-82.3052,2729502,8218312
202006,147241,892125,3,1.79,"W","OAK KNOLL",27.4951,-82.3086,2729706,8218516
202006,147241,892125,4,1.95,"ENE","LAKE MANATEE STATE PARK",27.4928,-82.3117,2729568,8218702
202006,147241,892126,1,0,"N","THONOTOSASSA",28.06,-82.3,283600,8218000
202006,147241,892126,2,.13,"E","THONOTOSASSA",28.0601,-82.2979,283606,8217874
202006,147241,892126,3,.16,"SE","THONOTOSASSA",28.0587,-82.2978,283522,8217868
202006,147241,892126,4,.09,"S","THONOTOSASSA",28.0587,-82.2999,283522,8217994
202006,147241,892127,1,2.79,"WSW","LAKE PANASOFFKEE",28.77,-82.17,2846200,8210200
202006,147241,892128,1,1.21,"E","LINDEN",28.57,-82.01,2834200,82600
202006,147241,892128,2,1.32,"E","LINDEN",28.5667,-82.0085,2834002,82510
202006,147241,892156,1,1.23,"W","CLEARWATER",27.9783,-82.77,2758698,8246200
202006,147241,892156,2,1.05,"NW","CLEARWATER",27.99,-82.7631,2759400,8245786
202006,147241,892157,1,3.02,"W","OXFORD",28.93,-82.08,2855800,824800
202006,147241,892157,2,2.85,"W","OXFORD",28.9233,-82.0764,2855398,824584
202006,147241,892158,1,.92,"SW","SUNNYLAND",27.27,-82.51,2716200,8230600
202006,147241,892158,2,1.01,"SW","SUNNYLAND",27.2693,-82.5111,2716158,8230666
202006,147241,892158,3,.95,"SW","SUNNYLAND",27.2693,-82.5097,2716158,8230582
202006,147241,892158,4,.9,"SW","SUNNYLAND",27.2694,-82.5085,2716164,8230510
202006,147241,892159,1,1.97,"WSW","BELSPUR",27.31,-82.48,2718600,8228800
202006,147241,892159,2,2.08,"NNW","BEE RIDGE",27.3083,-82.4814,2718498,8228884
202006,147241,892159,3,2.03,"WSW","BELSPUR",27.3083,-82.4802,2718498,8228812
202006,147241,892159,4,1.97,"WSW","BELSPUR",27.3083,-82.4793,2718498,8228758
202006,147241,892160,1,.92,"SE","OSPREY",27.19,-82.49,2711400,8229400
202006,147241,892160,2,.95,"SE","OSPREY",27.1895,-82.4901,2711370,8229406
202006,147241,892160,3,.96,"SE","OSPREY",27.1898,-82.4894,2711388,8229364
202006,147241,892160,4,.97,"SE","OSPREY",27.19,-82.4888,2711400,8229328
202006,147257,885405,1,2.21,"W","NAVAJO DAM",36.81,-107.65,3648600,10739000
202006,147257,885408,1,2.92,"WSW","BELEN",34.65,-106.83,3439000,10649800
202006,147263,885431,1,3.05,"WSW","ALLEN",44.6285,-91.4242,4437710,9125452
202006,147263,885431,2,2.93,"SSE","ALTOONA",44.7606,-91.4078,4445636,9124468
202006,147263,885431,3,5.79,"NNW","FALL CREEK",44.8471,-91.3162,4450826,9118972
202006,147263,885431,4,3.61,"E","WILSON",44.8379,-90.9472,4450274,9056832
202006,147263,885431,5,4.54,"NW","FAIRCHILD",44.6519,-91.0267,4439114,911602
202006,147263,885433,1,3.62,"E","BATEMAN",44.9214,-91.197,4455284,9111820
202006,147263,885433,2,1.47,"W","CADOTT",44.92,-91.15,4455200,919000
202006,147263,885433,3,2.69,"ESE","BOYD",44.9357,-90.9789,4456142,9058734
202006,147263,885433,4,9.81,"N","STANLEY",45.112,-90.9241,456720,9055446
202006,147263,885433,5,6.69,"E","JIM FALLS",45.0435,-91.1333,452610,917998
202006,147263,885434,1,2.54,"NW","CADOTT",44.95,-91.15,4457000,919000
202006,147263,885435,1,2.54,"WSW","BATEMAN",44.92,-91.32,4455200,9119200
202006,147263,885436,1,14.89,"E","DURAND",44.66,-91.67,4439600,9140200
202006,147263,885437,1,.85,"SW","HOLCOMBE",45.22,-91.13,4513200,917800
202006,147263,885438,1,4.24,"NW","AUGUSTA",44.73,-91.17,4443800,9110200
202006,147263,885440,1,1.47,"NNW","AUGUSTA",44.7,-91.13,4442000,917800
202006,147264,885618,1,2.76,"S","NEW MUNICH",45.59,-94.75,4535400,9445000
202006,147264,885621,1,6.88,"N","DANUBE",44.8795,-95.1011,4452770,956066
202006,147264,885621,2,7.19,"N","DANUBE",44.8841,-95.0991,4453046,955946
202006,147264,885646,1,.49,"W","(GDB)GRANITE FALLS AIRPORT",44.75,-95.56,4445000,9533600
202006,147264,885649,1,4.86,"N","MINNESOTA FALLS",44.87,-95.48,4452200,9528800
202006,147275,898992,1,5.5,"NE","LISCO",41.56,-102.55,4133600,10233000
202006,147277,885510,1,1.35,"E","SHEBOYGAN",43.749,-87.693,4344940,8741580
202006,147278,885542,1,0,"N","GREENTOWN",40.48,-85.97,4028800,8558200
202006,147278,885543,1,2.14,"SSE","WHITESTOWN",39.97,-86.34,3958200,8620400
202006,147278,885544,1,3.77,"WSW","CASSVILLE",40.54,-86.18,4032400,8610800
202006,147278,885545,1,2.11,"W","TIPTON",40.28,-86.09,4016800,865400
202006,147278,885546,1,.53,"E","GREENTOWN",40.48,-85.96,4028800,8557600
202006,147278,885547,1,0,"N","GREENTOWN",40.48,-85.97,4028800,8558200
202006,147278,885548,1,1.38,"S","SYCAMORE",40.48,-85.92,4028800,8555200
202006,147278,885549,1,2.14,"NNE","CENTER",40.46,-86.06,4027600,863600
202006,147278,885550,1,.87,"SW","WINDFALL",40.36,-85.96,4021600,8557600
202006,147278,885551,1,1.26,"WSW","NEVADA",40.39,-86.02,4023400,861200
202006,147278,885552,1,.53,"W","PHLOX",40.42,-85.93,4025200,8555800
202006,147278,885553,1,.87,"NE","JEROME",40.46,-85.92,4027600,8555200
202006,147278,885554,1,0,"N","GASTON",40.32,-85.5,4019200,8530000
202006,147278,885555,1,0,"N","SHARPSVILLE",40.38,-86.08,4022800,864800
202006,147280,885533,1,.53,"E","NEW SALEM",39.53,-85.34,3931800,8520400
202006,147280,885535,1,2.33,"SSE","HOWELL BROTHERS ARPT",39.57,-85.4,3934200,8524000
202006,147283,885567,1,.15,"SSW","LARCHMONT HARBOR WXFLOW",40.9181,-73.7312,4055086,7343872
202006,147283,885569,1,.21,"NW","BAYVILLE WXFLOW",40.9023,-73.6326,4054138,7337956
202006,147283,885572,1,.3,"SW","NORWALK LIGHT WXFLOW",41.0767,-73.3837,414602,7323022
202006,147283,885577,1,2.95,"NNW","STATION KPTN6",40.85,-73.7898,4051000,7347388
202006,147283,885581,1,2.04,"SW","STAMFORD HARBOR",41.002,-73.571,41120,7334260
202006,147283,885583,1,.36,"NE","EATONS NECK WXFLOW",40.954,-73.3955,4057240,7323730
